BOOK	CH	VS	LAYER	ITEM_ID	ITEM_TYPE	SURFACE	CLASSIFICATION	ALLOWED_DOWNSTREAM_USE	BLOCKS_PASO_RENDERING	REASON	SOURCE_FILE
1corintios	1	1	step1-verbs-connectors	cn1	connector	καὶ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	2	step1-verbs-connectors	v1	verb	ἡγιασμένοις	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	2	step1-verbs-connectors	v2	verb	οὔσῃ	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	2	step1-verbs-connectors	v3	verb	ἐπικαλουμένοις	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	2	step1-verbs-connectors	cn1	connector	καὶ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	3	step1-verbs-connectors	cn1	connector	καὶ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	3	step1-verbs-connectors	cn2	connector	καὶ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	4	step1-verbs-connectors	v1	verb	εὐχαριστῶ	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	4	step1-verbs-connectors	v2	verb	δοθείσῃ	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	5	step1-verbs-connectors	cn1	connector	ὅτι	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	5	step1-verbs-connectors	v1	verb	ἐπλουτίσθητε	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	5	step1-verbs-connectors	cn2	connector	καὶ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	6	step1-verbs-connectors	cn1	connector	καθὼς	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	6	step1-verbs-connectors	v1	verb	ἐβεβαιώθη	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	7	step1-verbs-connectors	cn1	connector	ὥστε	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	7	step1-verbs-connectors	cn2	connector	μὴ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	7	step1-verbs-connectors	v1	verb	ὑστερεῖσθαι	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	7	step1-verbs-connectors	v2	verb	ἀπεκδεχομένους	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	8	step1-verbs-connectors	cn1	connector	καὶ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	8	step1-verbs-connectors	v1	verb	βεβαιώσει	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	8	step1-verbs-connectors	cn2	connector	ἕως	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	9	step1-verbs-connectors	v1	verb	ἐκλήθητε	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	10	step1-verbs-connectors	v1	verb	παρακαλῶ	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	10	step1-verbs-connectors	cn1	connector	δὲ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	10	step1-verbs-connectors	cn2	connector	ἵνα	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	10	step1-verbs-connectors	v2	verb	λέγητε	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	10	step1-verbs-connectors	cn3	connector	καὶ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	10	step1-verbs-connectors	cn4	connector	μὴ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	10	step1-verbs-connectors	v3	verb	ᾖ	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	10	step1-verbs-connectors	v4	verb	ἦτε	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	10	step1-verbs-connectors	cn5	connector	δὲ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	10	step1-verbs-connectors	v5	verb	κατηρτισμένοι	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	10	step1-verbs-connectors	cn6	connector	καὶ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	11	step1-verbs-connectors	v1	verb	ἐδηλώθη	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	11	step1-verbs-connectors	cn1	connector	γάρ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	11	step1-verbs-connectors	cn2	connector	ὅτι	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	11	step1-verbs-connectors	v2	verb	εἰσιν	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	12	step1-verbs-connectors	v1	verb	λέγω	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	12	step1-verbs-connectors	cn1	connector	δὲ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	12	step1-verbs-connectors	cn2	connector	ὅτι	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	12	step1-verbs-connectors	v2	verb	λέγει	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	12	step1-verbs-connectors	v3	verb	εἰμι	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	12	step1-verbs-connectors	cn3	connector	δὲ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	12	step1-verbs-connectors	cn4	connector	δὲ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	12	step1-verbs-connectors	cn5	connector	δὲ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	13	step1-verbs-connectors	v1	verb	μεμέρισται	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	13	step1-verbs-connectors	cn1	connector	μὴ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	13	step1-verbs-connectors	v2	verb	ἐσταυρώθη	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	13	step1-verbs-connectors	cn2	connector	ἢ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	13	step1-verbs-connectors	v3	verb	ἐβαπτίσθητε	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	14	step1-verbs-connectors	v1	verb	εὐχαριστῶ	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	14	step1-verbs-connectors	cn1	connector	ὅτι	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	14	step1-verbs-connectors	v2	verb	ἐβάπτισα	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	14	step1-verbs-connectors	cn2	connector	εἰ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	14	step1-verbs-connectors	cn3	connector	μὴ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	14	step1-verbs-connectors	cn4	connector	καὶ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	15	step1-verbs-connectors	cn1	connector	ἵνα	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	15	step1-verbs-connectors	cn2	connector	μή	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	15	step1-verbs-connectors	v1	verb	εἴπῃ	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	15	step1-verbs-connectors	cn3	connector	ὅτι	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	15	step1-verbs-connectors	v2	verb	ἐβαπτίσθητε	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	16	step1-verbs-connectors	v1	verb	ἐβάπτισα	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	16	step1-verbs-connectors	cn1	connector	δὲ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	16	step1-verbs-connectors	cn2	connector	καὶ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	16	step1-verbs-connectors	cn3	connector	οὐκ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	16	step1-verbs-connectors	v2	verb	οἶδα	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	16	step1-verbs-connectors	cn4	connector	εἴ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	16	step1-verbs-connectors	v3	verb	ἐβάπτισα	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	17	step1-verbs-connectors	cn1	connector	οὐ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	17	step1-verbs-connectors	cn2	connector	γὰρ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	17	step1-verbs-connectors	v1	verb	ἀπέστειλέν	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	17	step1-verbs-connectors	v2	verb	βαπτίζειν	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	17	step1-verbs-connectors	cn3	connector	ἀλλὰ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	17	step1-verbs-connectors	v3	verb	εὐαγγελίζεσθαι	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	17	step1-verbs-connectors	cn4	connector	οὐκ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	17	step1-verbs-connectors	cn5	connector	ἵνα	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	17	step1-verbs-connectors	cn6	connector	μὴ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	17	step1-verbs-connectors	v4	verb	κενωθῇ	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	18	step1-verbs-connectors	cn1	connector	γὰρ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	18	step1-verbs-connectors	v1	verb	ἀπολλυμένοις	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	18	step1-verbs-connectors	v2	verb	ἐστίν	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	18	step1-verbs-connectors	cn2	connector	δὲ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	18	step1-verbs-connectors	v3	verb	σῳζομένοις	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	18	step1-verbs-connectors	v4	verb	ἐστιν	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	19	step1-verbs-connectors	v1	verb	γέγραπται	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	19	step1-verbs-connectors	cn1	connector	γάρ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	19	step1-verbs-connectors	v2	verb	ἀπολῶ	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	19	step1-verbs-connectors	cn2	connector	καὶ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	19	step1-verbs-connectors	v3	verb	ἀθετήσω	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	20	step1-verbs-connectors	v1	verb	ἐμώρανεν	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	21	step1-verbs-connectors	cn1	connector	ἐπειδὴ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	21	step1-verbs-connectors	cn2	connector	γὰρ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	21	step1-verbs-connectors	cn3	connector	οὐκ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	21	step1-verbs-connectors	v1	verb	ἔγνω	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	21	step1-verbs-connectors	v2	verb	εὐδόκησεν	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	21	step1-verbs-connectors	v3	verb	σῶσαι	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	21	step1-verbs-connectors	v4	verb	πιστεύοντας	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	22	step1-verbs-connectors	cn1	connector	ἐπειδὴ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	22	step1-verbs-connectors	cn2	connector	καὶ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	22	step1-verbs-connectors	v1	verb	αἰτοῦσιν	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	22	step1-verbs-connectors	cn3	connector	καὶ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	22	step1-verbs-connectors	v2	verb	ζητοῦσιν	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	23	step1-verbs-connectors	cn1	connector	δὲ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	23	step1-verbs-connectors	v1	verb	κηρύσσομεν	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	23	step1-verbs-connectors	v2	verb	ἐσταυρωμένον	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	23	step1-verbs-connectors	cn2	connector	δὲ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	24	step1-verbs-connectors	cn1	connector	δὲ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	24	step1-verbs-connectors	cn2	connector	τε	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	24	step1-verbs-connectors	cn3	connector	καὶ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	24	step1-verbs-connectors	cn4	connector	καὶ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	25	step1-verbs-connectors	cn1	connector	ὅτι	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	25	step1-verbs-connectors	v1	verb	ἐστίν	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	25	step1-verbs-connectors	cn2	connector	καὶ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	26	step1-verbs-connectors	v1	verb	βλέπετε	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	26	step1-verbs-connectors	cn1	connector	γὰρ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	26	step1-verbs-connectors	cn2	connector	ὅτι	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	26	step1-verbs-connectors	cn3	connector	οὐ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	26	step1-verbs-connectors	cn4	connector	οὐ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	26	step1-verbs-connectors	cn5	connector	οὐ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	27	step1-verbs-connectors	cn1	connector	ἀλλὰ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	27	step1-verbs-connectors	v1	verb	ἐξελέξατο	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	27	step1-verbs-connectors	cn2	connector	ἵνα	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	27	step1-verbs-connectors	v2	verb	καταισχύνῃ	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	27	step1-verbs-connectors	cn3	connector	καὶ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	27	step1-verbs-connectors	v3	verb	ἐξελέξατο	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	27	step1-verbs-connectors	cn4	connector	ἵνα	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	27	step1-verbs-connectors	v4	verb	καταισχύνῃ	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	28	step1-verbs-connectors	cn1	connector	καὶ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	28	step1-verbs-connectors	cn2	connector	καὶ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	28	step1-verbs-connectors	v1	verb	ἐξουθενημένα	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	28	step1-verbs-connectors	v2	verb	ἐξελέξατο	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	28	step1-verbs-connectors	cn3	connector	μὴ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	28	step1-verbs-connectors	v3	verb	ὄντα	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	28	step1-verbs-connectors	cn4	connector	ἵνα	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	28	step1-verbs-connectors	v4	verb	ὄντα	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	28	step1-verbs-connectors	v5	verb	καταργήσῃ	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	29	step1-verbs-connectors	cn1	connector	ὅπως	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	29	step1-verbs-connectors	cn2	connector	μὴ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	29	step1-verbs-connectors	v1	verb	καυχήσηται	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	30	step1-verbs-connectors	cn1	connector	δὲ	FACT	connector-list; connector-analysis-input	no	Greek connector word detected from approved inventory	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
1corintios	1	30	step1-verbs-connectors	v1	verb	ἐστε	FACT	verb-list; finite-anchor-input	no	Greek verb detection from RMAC morphology	MNA/roots-greek/db/1corintios-verbs-connectors.tsv
